"name","label"
"clust_num","Cluster number"
"hh_num","Household number"
"hh3","Interviewer number"
"hh4","Supervisor number"
"hh5d","Day of interview"
"hh5m","Month of interview"
"hh5y","Year of interview"
"area_type","Area"
"region","Region"
"hh8","HH selected for Questionnaire for Men"
"hh_selected_household","HH selected for Water Quality Testing"
"hhname","Name of head of household"
"hh11h","Start of interview - Hour"
"hh11m","Start of interview - Minutes"
"hh13h","End of interview - Hour"
"hh13m","End of interview - Minutes"
"hh14","Language of the Questionnaire"
"hh15","Language of the Interview"
"hh16","Native language of the Respondent"
"hh17","Translator used"
"hh26a","Rank number of the selected child"
"hh26b","Child line number"
"hh26c","Child's age"
"hh47","Respondent to HH questionnaire"
"hh48","Number of HH members"
"hh49","Number of women 15 - 49 years"
"hh50","Number of men 15 - 49 years [If household is selected for Questionnaire for Men]"
"hh51","Number of children under age 5"
"hh52","Number of children age 5-17"
"hhaddr","Household address"
"hhwq","Water Quality prompt"
"hc1a","Religion of household head"
"hc1b","Language of household head"
"hc2","Ethnic group of household head"
"hc3","Number of rooms used for sleeping"
"hc4","Main material of floor"
"hc5","Main material of roof"
"hc6","Main material of exterior wall"
"hc7b","Household have: Radio"
"hc7c","Household have: Wall clock"
"hc7e","Household have: Sewing machine"
"hc7f","Household have: Bed"
"hc7g","Household have: Table"
"hc7h","Household have: Dining Table"
"hc7i","Household have:  Chairs"
"hc7j","Household have: Sofa set"
"hc7k","Household have: Cabinet/Cupboard"
"hc7l","Household have: Storage Box/Trunk"
"hc8","Household have electricity"
"hc9b","Household have: Refrigerator"
"hc9c","Household have: A Freezer"
"hc9e","Household have: A color television?(traditional)"
"hc9f","Household have: A LCD/LED/Plasma or smart television"
"hc9i","Household have: An audio player/stero/deck"
"hc9j","Household have: A DVD/VCD/VCR/Blue ray"
"hc9m","Household have: An electric/table/pedestal fan"
"hc9o","Household have: Food processor/blender"
"hc10a","Any member of household own: Watch"
"hc10b","Any member of household own: Bicycle"
"hc10c","Any member of household own: Motorcycle or scooter"
"hc10e","Any member of household own: Car, truck or van"
"hc11","Any member have a computer"
"hc12","Any member have a mobile telephone"
"hc13","Internet access at home"
"hc14","Household owns the dwelling"
"hc15","Any household member own land that can be used for agriculture"
"hc16","How man hectares, or acres or poles of agricultural land members of household ow"
"hc16u","Units of agricultural land members of household owns"
"hc17","Household own any animals"
"hc18d","Goats"
"hc18e","Sheep"
"hc18f","Chickens"
"hc19","Any household member own bank account"
"eu1","Type of cookstove mainly used for cooking"
"eu4","Type of energy source for cookstove"
"eu5","Place for cooking"
"eu8","Type of energy source for heater"
"eu9","Type of lighting in household"
"tn1","Household has mosquito nets"
"tn2","Number of mosquito nets"
"ir1","Interior walls of dwelling sprayed against mosquitos"
"ws1","Main source of drinking water"
"ws2","Main source of water used for other purposes (if bottled water used for drinking"
"ws3","Location of the water source"
"ws4","Time (in minutes) to get water and come back"
"ws5","Person collecting water"
"ws6","Number of times person collected water in the last seven days"
"ws7","There been any time in the last month without sufficient water"
"ws8","Main reason without sufficient water"
"ws8a","In the last month, on average how many days drinking water was not available"
"ws9","Treat water to make safer for drinking"
"ws10aa","Do you or your household  store drinking water"
"ws10bba","Storage is in a secured and covered vessel"
"ws10bbb","Open, exposed vessels"
"ws10bbc","Storage is out of reach of animals and infants"
"ws10bbd","Store in refrigerator/fridge/water dispenser"
"ws10cca","With drinking vessel or any vessel available"
"ws10ccb","Single/Designated collecting/Dispensing vessel"
"ws11","Type of toilet facility"
"ws12","Pit latrine or septic tank ever been emptied"
"ws13","Place the contents were emptied"
"ws14","Location of the toilet faciltity"
"ws15","Toilet facility shared"
"ws16","Toilet shared with other household or with general public"
"ws17","Households using this toilet facility"
"hw1","Place where household members most often wash their hands"
"hw2","Water available at the place for handwashing"
"hw3","Soap or detergent present at place of handwashing"
"hw4","Usual place for handwashing"
"hw5","Soap/other material available for washing hands"
"hw6","Hand washing material shown"
"hw7a","Bar soap"
"hw7b","Detergent (Powder / Liquid / Paste)"
"hw8a","After going to toilet"
"hw8c","Before eating"
"hw8d","Before preparing food"
"hw8x","Other"
"hw9a","After going to toilet"
"hw9c","Before eating"
"hw9d","Before preparing food"
"hw9x","Other"
"sa1","Salt iodization test outcome"
"sa2","Salt iodization recheck test outcome"
"wq1","Cluster number"
"wq2","Household number"
"measurer_id","Tester?s number"
"wq4","Supervisor's number"
"wq5d","Day of interview"
"wq5m","Month of interview"
"wq5y","Year of interview"
"wq6","HH selected for blank testing"
"wq10h","Start of water quality test - Hour"
"wq10m","Start of water quality test - Minutes"
"wq23h","End of water quality test - Hour"
"wq23m","End of water quality test - Minutes"
"observe_hh_sample_collection","Household water sample collected"
"wq16","Was the glass water from the main source"
"source_hh_sample","Source of water where the glass of water was collected"
"wq20","HH selected for blank testing"
"wq24d","Day of interview"
"wq24m","Month of interview"
"wq24y","Year of interview"
"wq25h","End of water quality test - Hour"
"wq25m","End of water quality test - Minutes"
"ec_100_h","Household water test (100ml)"
"ec_100_s","Source water test (100ml)"
"hhsex","Sex of household head"
"hhage","Age of household head"
"stratum","NULL"
"ethnicity","Ethnicity of household head"
"helevel","Education of household head"
"hh53","Number of woman' questionnaires completed"
"hh54","Number of man' questionnaires completed [If household is selected for Questionna"
"hh50a","Number of men 15 - 49 years in interviewed households"
"hh55","Number of under - 5 questionnaires completed"
"hh56","Number of CF questionnaires completed (age 5-17 years)"
"oversampled","NULL"
"list_cat","NULL"
"hhweight","Household sample weight"
"wqhweight","Weight for household WQT"
"wqsweight","Weight for source WQT"
"wscore","Combined wealth score"
"windex5","Wealth index quintile"
"windex10","Percentile Group of com1"
"wscoreu","Urban wealth score"
"windex5u","Urban wealth index quintile"
"windex10u","Percentile Group of urb1"
"wscorer","Rural wealth score"
"windex5r","Rural wealth index quintile"
"windex10r","Percentile Group of rur1"
"id","NULL"
"hh_selected_source","HH selected for Water Quality Testing"
"wat_class","Main water source type"
"wat_imp","Main water source improved"
"same_source","Water sample from main source"
"source_sample_class","Source of sample type"
"accessible","NULL"
"accessible_cat","NULL"
"available","NULL"
"unavailable_reason","NULL"
"storage","RECODE of observe_HH_sample_collection (Household water sample collected)"
"treat_any","NULL"
"san_imp","RECODE of WS11 (Type of toilet facility)"
"san_cat","RECODE of WS11 (Type of toilet facility)"
"san_shared","NULL"
"hwws","NULL"
"animals","NULL"
"floor","NULL"
"hhsize5","Household size"
"windex3","3 quantiles of wscore"
"education","Education of household head"
"ec_result_h","Is an E. coli test result recorded"
"ec_result_h100","Is an E. coli test result recorded"
"ec_risk_h_1","Low risk: E. coli < 1 cfu/100 mL"
"ec_risk_h_3","High risk: E. coli 11-100 cfu/100 mL"
"ec_risk_h_4","Very high risk: E. coli >100 cfu/100 mL"
"ec_result_s","Is an E. coli test result recorded"
"ec_result_s100","Is an E. coli test result recorded"
"ec_risk_s_1","Low risk: E. coli < 1 cfu/100 mL"
"ecpopweight_h","NULL"
"ecpopweight_s","NULL"
"popweight","NULL"
