"","Variable type","Example variable","Module","Survey"
"1","Fertility rates","Age specific fertility rate: 10-14","Fertility","Women"
"2","Fertility","Percentage of women currently pregnant","Fertility","Women"
"3","Fertility trends","Age specific fertility rate: 10-14 (five year periods)","Fertility","Women"
"4","Children ever born to all women","Women with no children ever born","Fertility","Women"
"5","Children ever born to currently married women","Married women with no children ever born","Fertility","Women"
"6","Birth intervals","Previous birth interval: 7-17 months","Fertility","Children"
"7","Birth order","Births of birth order 1","Fertility","Children"
"8","Postpartum insusceptibility","Postpartum amenorrheic","Fertility","Women"
"9","Postpartum insusceptibility duration","Median duration postpartum amenorrheic","Fertility","Women"
"10","First menstruation","Age at first menarche: <=10","Fertility","Women"
"11","Menopause","Women age 30-49 menopausal","Fertility","Women"
"12","First birth by exact age","Women giving birth by age 15","Fertility","Women"
"13","First birth by exact age (women age 20-24)","Young women age 20-24 giving birth by age 15","Fertility","Women"
"14","Median age at first birth","Median age at first birth for women age 20-24","Fertility","Women"
"15","Teenage pregnancy","Teenagers who are mothers","Fertility","Women"
"16","Teen sexual health behaviors before age 15","Teenage women who initiated sexual intercourse before age 15","Fertility","Women"
"17","Pregnancy outcome","Pregnancy outcome: Live birth","Fertility","Women"
"18","Induced abortion rates","Induced abortion rate: 10-14","Fertility","Women"
"19","Desire for children","Desire for more children: Have another soon","Fertility Preferences","Women"
"20","Desire to limit childbearing","Women who want no more children","Fertility Preferences","Women"
"21","Ideal number of children","Ideal number of children [Women]: 0","Fertility Preferences","Women"
"22","Mean ideal number of children","Mean ideal number of children for all women","Fertility Preferences","Women"
"23","Fertility planning status","Percentage of births wanted then","Fertility Preferences","Women"
"24","Fertility planning status (all pregnancy outcomes)","Percentage of pregnancy outcomes wanted then","Fertility Preferences","Women"
"25","Wanted fertility rates","Total wanted fertility rate","Fertility Preferences","Women"
"26","Knowledge of contraceptive methods by all respondents","Knowledge of any method of contraception (all women)","Family Planning","Women"
"27","Knowledge of contraceptive methods by currently married respondents","Knowledge of any method of contraception (married women)","Family Planning","Women"
"28","Knowledge of contraceptive methods by sexually active unmarried respondents","Knowledge of any method of contraception (sexually active unmarried women)","Family Planning","Women"
"29","Knowledge of contraceptive methods","Knowledge of any method of contraception among married women","Family Planning","Women"
"30","Ever use of contraceptive methods by all respondents","Ever use of any method of contraception (all women)","Family Planning","Women"
"31","Ever use of contraceptive methods by currently married respondents","Ever use of any method of contraception (married women)","Family Planning","Women"
"32","Ever use of contraceptive methods by sexually active unmarried respondents","Ever use of any method of contraception (sexually active unmarried women)","Family Planning","Women"
"33","Current use of contraception by all women","Current use of any method of contraception (all women)","Family Planning","Women"
"34","Current use of contraception by currently married women","Married women currently using any method of contraception","Family Planning","Women"
"35","Current use of contraception by sexually active unmarried women","Current use of any method of contraception (sexually active unmarried women)","Family Planning","Women"
"36","Current use of contraception by young women","Current use of any method of contraception (young women)","Family Planning","Women"
"37","Age at time of sterilization","Age at sterilization: <25","Family Planning","Women"
"38","Source of modern contraception methods","Current users most recent supply or information from a public source","Family Planning","Women"
"39","Sayana Press use","Percentage using DMPA-SC/Sayana Press","Family Planning","Women"
"40","Emergency contraception use","Percentage using emergency contraception in last 12 months","Family Planning","Women"
"41","Use of social marketing brand pills and condoms","Using social marketing brand of pill","Family Planning","Women"
"42","Informed choice","Users informed about side effect or problems of method used","Family Planning","Women"
"43","Twelve-month contraceptive discontinuation rates","First-year contraceptive discontinuation rate due to method failure","Family Planning","Women"
"44","Reasons for discontinuation","Discontinuation due to becoming pregnant","Family Planning","Women"
"45","Knowledge of fertile period","Believes fertile period is before period begins","Family Planning","Women"
